iter	Logloss
0	0.6874523249
1	0.6803194852
2	0.6745925682
3	0.6676399756
4	0.6610959919
5	0.6557237864
6	0.6483730429
7	0.6426677442
8	0.6361989133
9	0.6303903617
10	0.6260622138
11	0.6203975048
12	0.614680637
13	0.6104544485
14	0.604924204
15	0.6010359098
16	0.5959111741
17	0.5913772112
18	0.5868157797
19	0.5832455224
20	0.5776808735
21	0.5724928706
22	0.5680122145
23	0.5632567767
24	0.5581061246
25	0.5536508267
26	0.5493228747
27	0.5444081222
28	0.5402747249
29	0.5363952245
30	0.5325977221
31	0.5289744742
32	0.5251979558
33	0.5210112288
34	0.5173925876
35	0.5137770143
36	0.5106371581
37	0.5072093389
38	0.5036592717
39	0.4998771783
40	0.4971268357
41	0.494358369
42	0.4908373922
43	0.4878629554
44	0.4846007162
45	0.4818390575
46	0.4791858891
47	0.4759620453
48	0.4736429968
49	0.471237467
50	0.4680637801
51	0.4656717236
52	0.4638264103
53	0.4612652289
54	0.4591274434
55	0.4565276577
56	0.4544410528
57	0.4520320658
58	0.4499348533
59	0.4477525569
60	0.4455833019
61	0.4435540959
62	0.4411654517
63	0.4392881448
64	0.4372563426
65	0.4359932624
66	0.4337024009
67	0.4324929357
68	0.4306874245
69	0.4286662509
70	0.4271657509
71	0.4256274587
72	0.4235879439
73	0.4216844302
74	0.4200573588
75	0.4184536722
76	0.416796518
77	0.4151606246
78	0.4135037163
79	0.4118505795
80	0.4103454496
81	0.40929389
82	0.4078056985
83	0.406321489
84	0.4053131752
85	0.4044960188
86	0.4027530073
87	0.4012307433
88	0.4004668352
89	0.3995656316
90	0.3986341178
91	0.3973511305
92	0.3961996749
93	0.3949755508
94	0.3942788402
95	0.3930933461
96	0.3916968813
97	0.3906176183
98	0.3891983602
99	0.3880468123
100	0.3869653742
101	0.3857140224
102	0.3844918153
103	0.3835560616
104	0.3825929083
105	0.3816022728
106	0.380532944
107	0.3797263241
108	0.3787091304
109	0.377479402
110	0.3764721
111	0.375574879
112	0.3746380559
113	0.3734626632
114	0.3725751712
115	0.371745319
116	0.3710061106
117	0.3703308018
118	0.3694887629
119	0.3690196511
120	0.3683384447
121	0.3676609753
122	0.3669369481
123	0.3661736174
124	0.365510003
125	0.3648592709
126	0.3644905826
127	0.3641478095
128	0.3634091644
129	0.3628007259
130	0.3622297992
131	0.3616975191
132	0.3612367331
133	0.360688519
134	0.3600162302
135	0.3595037362
136	0.3590198144
137	0.3583845435
138	0.3576861817
139	0.3570052972
140	0.356157266
141	0.3557681092
142	0.3551392814
143	0.3547921293
144	0.3542159824
145	0.3537550081
146	0.3529773175
147	0.3525211715
148	0.3519121306
149	0.3512998824
150	0.3504393537
151	0.3498638685
152	0.3496665141
153	0.348973968
154	0.3484538945
155	0.3479235098
156	0.3473208999
157	0.3468223549
158	0.3463633659
159	0.3458568543
160	0.3456699978
161	0.3452527216
162	0.344642971
163	0.3439507133
164	0.3434451069
165	0.3429499174
166	0.3425118925
167	0.3421552423
168	0.3417334951
169	0.341246367
170	0.3408484577
171	0.3401389501
172	0.339686263
173	0.3391814154
174	0.3387966262
175	0.3384772841
176	0.3383084218
177	0.3380019922
178	0.3376040299
179	0.3372152377
180	0.3366179118
181	0.3364247144
182	0.3360586635
183	0.3358961331
184	0.3355833087
185	0.3352693737
186	0.3351203859
187	0.334916204
188	0.3347451654
189	0.334433113
190	0.333895231
191	0.3336327469
192	0.3334140247
193	0.3331158611
194	0.3329201021
195	0.3327122567
196	0.3324538559
197	0.3322362881
198	0.3320111085
199	0.3315121784
200	0.3314255001
201	0.3310126332
202	0.3307171751
203	0.3305475578
204	0.3302238599
205	0.3299005244
206	0.329473613
207	0.3290259047
208	0.3288767811
209	0.3287266189
210	0.3284182019
211	0.3280332833
212	0.3276666693
213	0.3274981244
214	0.3273179412
215	0.3270581088
216	0.3268215101
217	0.3264702268
218	0.3262415701
219	0.3258737902
220	0.3255962276
221	0.325091732
222	0.3248700457
223	0.3247172721
224	0.3245784543
225	0.3242451577
226	0.3240042814
227	0.3235943169
228	0.3232782229
229	0.3230302718
230	0.3226626529
231	0.3223850556
232	0.3221467278
233	0.3219549158
234	0.3218072562
235	0.3216717977
236	0.3215108743
237	0.3212586067
238	0.3209392809
239	0.3206751278
240	0.3206009831
241	0.3203659796
242	0.3199567694
243	0.3196486267
244	0.3194872162
245	0.3193272037
246	0.3192121445
247	0.3191570236
248	0.3189182184
249	0.3188807052
250	0.3186791602
251	0.3184345162
252	0.3183046055
253	0.31811106
254	0.3179259895
255	0.3178126063
256	0.3174481526
257	0.3172645122
258	0.3172273719
259	0.3170552123
260	0.3168402686
261	0.3166511309
262	0.3163642116
263	0.3162672128
264	0.3159642467
265	0.3157471103
266	0.315569364
267	0.3154142552
268	0.3152275635
269	0.3151366943
270	0.3148516815
271	0.3145893845
272	0.3143087658
273	0.31411195
274	0.3139251074
275	0.3138478604
276	0.3136674544
277	0.3134009136
278	0.313272722
279	0.3129510828
280	0.31280065
281	0.3126672195
282	0.3122850399
283	0.3119938926
284	0.3117872733
285	0.311721404
286	0.3116370367
287	0.3114242401
288	0.3113237386
289	0.3111131479
290	0.31086987
291	0.3107845653
292	0.3107188739
293	0.310556785
294	0.3103047071
295	0.3101363163
296	0.3099895086
297	0.3098454907
298	0.3096019933
299	0.3094447056
300	0.3093982696
301	0.3092988296
302	0.3092112119
303	0.308922011
304	0.3088079363
305	0.308743201
306	0.3085553189
307	0.308289067
308	0.3081842063
309	0.3079329445
310	0.3078058421
311	0.3076462234
312	0.3074851122
313	0.3073752544
314	0.3071696396
315	0.3067876043
316	0.3064197169
317	0.306310863
318	0.306233527
319	0.3061619416
320	0.3059918543
321	0.3058062661
322	0.3056896612
323	0.3054948747
324	0.3053776847
325	0.3052433482
326	0.3050095164
327	0.3047789169
328	0.3046046682
329	0.3043180574
330	0.3042164078
331	0.304163957
332	0.3041506386
333	0.3039777244
334	0.3038496194
335	0.3037711674
336	0.3037165789
337	0.3036432156
338	0.3034498899
339	0.3032901361
340	0.3030501152
341	0.3027949389
342	0.3026054525
343	0.302557242
344	0.3024580749
345	0.302431607
346	0.3022459277
347	0.3021018526
348	0.3020065509
349	0.3019974273
350	0.3019350974
351	0.3018562705
352	0.3017910126
353	0.30169482
354	0.3014858376
355	0.3013294482
356	0.3012793477
357	0.3012270237
358	0.3010871273
359	0.3010333198
360	0.3009388073
361	0.3009020221
362	0.3007114602
363	0.3006248504
364	0.3004890894
365	0.3004148076
366	0.3003487313
367	0.3001833878
368	0.3000361553
369	0.299844572
370	0.2996835932
371	0.2995859159
372	0.299583307
373	0.2995355055
374	0.2994017915
375	0.2993065664
376	0.29918216
377	0.2990534027
378	0.2989356795
379	0.2987030244
380	0.2985843264
381	0.2985359044
382	0.2981842099
383	0.298091326
384	0.2979770178
385	0.2979047193
386	0.2978603771
387	0.2977341593
388	0.2975224209
389	0.2974268442
390	0.2973416228
391	0.2972452244
392	0.297145079
393	0.2970866714
394	0.2970095504
395	0.2969053306
396	0.2966947301
397	0.2965911873
398	0.2964346923
399	0.2963401166
400	0.2963296731
401	0.2963010907
